OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,Period,GeoEntityName,GeoCode,GeoName,GeoURI,Persons_Number_DeathsAge10AndOver,Persons_DASR_DeathsAge10AndOver,Females_Number_DeathsAge10AndOver,Females_DASR_DeathsAge10AndOver,Males_Number_DeathsAge10AndOver,Males_DASR_DeathsAge10AndOver
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,45,13,17,9.7,28,16.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,36,13.4,6,0,30,22.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,24,7.6,8,0,16,10.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,22,8.7,4,0,18,15
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,27,7.1,7,0,20,11.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,24,9.1,4,0,20,15.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,201,10.4,51,4.9,150,16.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,24,13.8,5,0,19,22.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,41,12.1,14,8.3,27,16.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,35,13.8,7,0,28,22.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,27,8.8,8,0,19,12.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,23,9.5,3,0,20,17.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,25,6.7,8,0,17,9.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,26,9.9,6,0,20,16
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2012-01-01T00:00:00,2014-12-31T23:59:59,,2012-2014,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,206,10.8,43,4.3,163,17.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2012-01-01T00:00:00,2014-12-31T23:59:59,,2012-2014,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,23,13.4,3,0,20,23.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2012-01-01T00:00:00,2014-12-31T23:59:59,,2012-2014,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,40,12.3,9,0,31,19.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2012-01-01T00:00:00,2014-12-31T23:59:59,,2012-2014,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,36,14.8,7,0,29,23.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2012-01-01T00:00:00,2014-12-31T23:59:59,,2012-2014,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,30,9.7,8,0,22,15
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2012-01-01T00:00:00,2014-12-31T23:59:59,,2012-2014,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,24,10,4,0,20,17.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2012-01-01T00:00:00,2014-12-31T23:59:59,,2012-2014,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,30,8.2,8,0,22,12.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2012-01-01T00:00:00,2014-12-31T23:59:59,,2012-2014,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,23,9.4,4,0,19,16.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2011-01-01T00:00:00,2013-12-31T23:59:59,,2011-2013,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,200,10.6,45,4.5,155,17
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2011-01-01T00:00:00,2013-12-31T23:59:59,,2011-2013,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,20,11.8,3,0,17,20.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2011-01-01T00:00:00,2013-12-31T23:59:59,,2011-2013,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,33,9.7,6,0,27,16.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2011-01-01T00:00:00,2013-12-31T23:59:59,,2011-2013,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,33,14.1,8,0,25,20.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2011-01-01T00:00:00,2013-12-31T23:59:59,,2011-2013,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,38,12.7,10,6.4,28,19.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2011-01-01T00:00:00,2013-12-31T23:59:59,,2011-2013,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,23,10,3,0,20,17.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2011-01-01T00:00:00,2013-12-31T23:59:59,,2011-2013,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,27,7.6,8,0,19,11.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2011-01-01T00:00:00,2013-12-31T23:59:59,,2011-2013,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,26,11.1,7,0,19,17.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2010-01-01T00:00:00,2012-12-31T23:59:59,,2010-2012,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,197,10.5,48,4.8,149,16.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2010-01-01T00:00:00,2012-12-31T23:59:59,,2010-2012,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,16,9.2,2,0,14,16.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2010-01-01T00:00:00,2012-12-31T23:59:59,,2010-2012,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,41,11.4,11,5.8,30,17.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2010-01-01T00:00:00,2012-12-31T23:59:59,,2010-2012,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,34,14,9,0,25,20
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2010-01-01T00:00:00,2012-12-31T23:59:59,,2010-2012,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,35,11.6,9,0,26,18
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2010-01-01T00:00:00,2012-12-31T23:59:59,,2010-2012,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,17,7.4,3,0,14,12.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2010-01-01T00:00:00,2012-12-31T23:59:59,,2010-2012,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,31,8.8,8,0,23,14.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2010-01-01T00:00:00,2012-12-31T23:59:59,,2010-2012,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,23,10.1,6,0,17,16.1
